Parameters,quisinostathydrochloride,tafenoquine
EC50,0.170557232062776,0.00378337801451847
H,2.50156554804995,3.67054542396638
Ucinf,8.3416767994205,1.41291757526184
chi2,39.1081034071134,19.2972826517616
good_of_fit,0,0
