Parameters,rifampicin,mefloquine
EC50,0.0306089783509074,0.0926956657406552
H,3.51942099232142,0.696519001368711
Ucinf,8.69170885943714,0
chi2,241.285776628549,1836.70931391702
good_of_fit,0,0
