Parameters,kn62,gramicidin
EC50,0.000252101022609512,1.32936298970069
H,9.99999999999999,9.99999999999994
Ucinf,34.4805415000339,14.9547623455878
chi2,4949.74717052138,4685.48355059247
good_of_fit,0,0
