Parameters,bix01294,chloroquine
EC50,0.0136875791700127,0.0189454635022459
H,9.99999999999999,10
Ucinf,37.7353412917292,37.0264698043096
chi2,5598.26856970827,11176.0612018335
good_of_fit,0,0
