Parameters,manidipinedihydrochloride,halofantrine
EC50,0.00180936663368045,4.16196357374245
H,6.54038292052333,3.90133333092747
Ucinf,0.512628922903746,0
chi2,200.396769423527,367.598425371047
good_of_fit,0,0
