Parameters,ink128,mefloquine
EC50,0.040385002017614,0.152295397821694
H,3.27039873124578,9.99999999999999
Ucinf,1.70501276295602,0
chi2,3035.66030755055,5176.55174920905
good_of_fit,0,0
