Parameters,bix01294,artenimol
EC50,0.000551928537229741,0.0140537276327946
H,2.61672014118363,4.36027765732921
Ucinf,1.10225755574459,0
chi2,923.512574135491,81.9841937369811
good_of_fit,0,0
