Parameters,bix01294,artenimol
EC50,0.00224548036655082,0.0753258360643255
H,4.00593921482665,7.34444761649174
Ucinf,1.24149173284634,2.03404200277684
chi2,75.4835071035098,151.00520725163
good_of_fit,0,0
