Parameters,nvpbgt226,lumefantrine
EC50,0.0125427426426318,0.00241171129058583
H,2.98657396799232,9.99999999999984
Ucinf,0,11.413005020514
chi2,135.657702923021,193.707835477756
good_of_fit,0,0
