Parameters,nitd609,lumefantrine
EC50,0.00284217143350438,0.000377395154319398
H,4.43816763742397,1.05680793213259
Ucinf,1.63960905342622,0
chi2,161.749419727112,1771.27447364077
good_of_fit,0,0
