Parameters,manoalide,artenimol
EC50,0.00284317032461026,6.31779955741189
H,9.99999999999995,9.99999960300303
Ucinf,39.4737542266221,72.3696808700108
chi2,16792.185494615,7958230885.53054
good_of_fit,0,0
