Parameters,nvpauy922,artemether
EC50,0.0182601751045999,0.0598537595108858
H,8.17328441301119,2.55675267212348
Ucinf,8.90988845733069,0
chi2,5264.29717238648,2643.59756757947
good_of_fit,0,0
