Parameters,kn62,artenimol
EC50,0.00326158795797215,5
H,9.99999949619647,9.99999999999997
Ucinf,46.1527863385445,2.24784032304686
chi2,12284435381.1112,11721.1034040388
good_of_fit,0,0
