Parameters,reserpine,mefloquine
EC50,0.0517940743898698,1.30778658422001
H,9.99999999999985,9.99999996894998
Ucinf,38.5012917761818,94.9164602943984
chi2,58853.4308072843,34795.422763906
good_of_fit,0,0
