Parameters,reserpine,lumefantrine
EC50,0.0112537528837491,0.926005473135339
H,4.23373924077368,1.72121150692061
Ucinf,11.4318870247244,0
chi2,9355.50602247273,4677.78494451322
good_of_fit,0,0
