Parameters,clobetasonebutyrate,decoquinate
EC50,0.0032125675182071,1.61407124007876
H,2.64223893196609,2.62144336610421
Ucinf,5.07286635098823,0
chi2,161.179727092471,352.258321141491
good_of_fit,0,0
