Parameters,ml238,nvpbgt226
EC50,0.0012724519613535,0.00240754358470886
H,9.99999999999986,2.3646457491634
Ucinf,13.4210445841422,24.6469923453452
chi2,1533.27289891707,2003.45314046221
good_of_fit,0,0
