Parameters,gramicidin,artemether
EC50,0.0134228293766708,0.000256412431662163
H,10,9.99999999999999
Ucinf,0.610058207849384,1.73024302383981
chi2,72.3244585925503,55.8130545994179
good_of_fit,0,0
