Parameters,lumefantrine,artesunate
EC50,0.0142669111877593,0.0152691970792909
H,5.53517741913884,3.10842500965264
Ucinf,1.10018400537602,0
chi2,53.6199928221401,169.531946793758
good_of_fit,0,0
