Parameters,nanchangmycin,artemether
EC50,0.024627041606726,0.00109584814376168
H,9.99999999999984,3.41762156067748
Ucinf,0.442994966947075,2.29818719140376
chi2,397.933499198909,136.681538526621
good_of_fit,0,0
