Parameters,amodiaquine,artenimol
EC50,0.00282003496178131,0.115982615221691
H,2.94243839306933,4.53535106145476
Ucinf,6.31554838226856,7.31218163284053
chi2,728.166191205954,698.820281632111
good_of_fit,0,0
