Parameters,propafenonehydrochloride,artemether
EC50,0.013343892786696,2.8064257596658
H,9.99999999999991,2.53517976605064
Ucinf,5.750809805117,0
chi2,2871.79627934377,1472.06796448619
good_of_fit,0,0
