Parameters,propafenonehydrochloride,methyleneblue
EC50,0.0237466742532778,2.02734183930361
H,4.23889953671354,2.65009999582763
Ucinf,2.01175253107064,0
chi2,34.3579272949614,58.892257608713
good_of_fit,0,0
