Folder,TITLE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,ANT_SUM_WEIGHTED_SAN,ANT_SUM_WEIGHTED_LOEWE,ANT_SUM_WEIGHTED_BLISS,ANT_SUM_WEIGHTED_HSA,QA
3methyladenine_lumefantrine_PLASMODIUM_FALCIPARUM_3D7,TestData,3methyladenine,lumefantrine,0.025,0.5,0.00442694801021138,4.35911855313074,2.96338446212814,0.5,10,75.6336323318231,0,-12.6132999717631,-11.5714966281487,-11.5692805548233,1
3methyladenine_lumefantrine_PLASMODIUM_FALCIPARUM_DD2,TestData,3methyladenine,lumefantrine,0.05,1,0.0147217212885877,2.95489307857343,0.330833580372175,1,0,100,0,-12.4632228365284,-12.4632228365284,-12.4632228365284,1
3methyladenine_lumefantrine_PLASMODIUM_FALCIPARUM_HB3,TestData,3methyladenine,lumefantrine,0.05,1,0.00873902661197498,3.82799995915782,7.86815112115494,1,0,100,0,-60.6083851939203,-60.6083851939203,-60.6083851939203,-1
alvespimycinhydrochloride_artemether_PLASMODIUM_FALCIPARUM_3D7,TestData,alvespimycinhydrochloride,artemether,0.05,0.75,0.0187303002599478,9.99999999999989,50.3170481270823,0.179953243897603,10,15.7825654262878,0,-1961.40993544146,-1964.48165847752,-1960.24845808777,-1
alvespimycinhydrochloride_artemether_PLASMODIUM_FALCIPARUM_DD2,TestData,alvespimycinhydrochloride,artemether,0.05,0.75,0.0337150809577749,5.86698796109093,0,0.140657068715643,4.06569589660719,1.85428819299474,0,-12.0343144180476,-8.89326550304381,-8.89189457011218,1
alvespimycinhydrochloride_artemether_PLASMODIUM_FALCIPARUM_HB3,TestData,alvespimycinhydrochloride,artemether,0.05,0.75,0.0189677499854339,4.2536560579891,27.8436503418189,0.263420133119119,2.91942367693716,0,0,-34.3171752174194,-34.583594256015,-33.7144275915382,-1
alvespimycinhydrochloride_artenimol_PLASMODIUM_FALCIPARUM_3D7,TestData,alvespimycinhydrochloride,artenimol,0.025,0.75,0.00258905215068505,3.12413481082045,23.8680683240436,0.105540924383617,9.99999999999883,53.5614575343821,0,-6306.17184901085,-6303.98897130173,-6296.91802907842,-1
alvespimycinhydrochloride_artenimol_PLASMODIUM_FALCIPARUM_DD2,TestData,alvespimycinhydrochloride,artenimol,0.025,0.75,0.00251054439330273,4.23417709530091,0.809888208858683,0.137170813507816,3.86929639485432,2.04929917393264,0,-8.51510856553524,-4.36886572819782,-4.36550115923497,1
alvespimycinhydrochloride_artenimol_PLASMODIUM_FALCIPARUM_HB3,TestData,alvespimycinhydrochloride,artenimol,0.025,0.75,0.00253001232412501,2.82462468250901,1.36579683411297,0.291483180359768,2.84332493877359,4.99532158735779,0,-36.2685978211479,-26.2501780977297,-25.5747893036651,-1
alvespimycinhydrochloride_artesunate_PLASMODIUM_FALCIPARUM_3D7,TestData,alvespimycinhydrochloride,artesunate,0.05,0.75,0.00960795347017824,9.99999999999998,58.5837394509502,0.0590890176773283,4.48744722247699,28.226457049843,0,-5353.79298613713,-5347.23022260572,-5346.43057089635,-1
