Parameters,decoquinate,atovaquone
EC50,0.000690186999724117,0.0101734437999977
H,4.09034944139655,7.33913495897984
Ucinf,27.1167140081043,8.04187455851366
chi2,14092.8525903963,2236.93404151124
good_of_fit,0,0
