Parameters,nvpauy922,nanchangmycin
EC50,0.000519330010328784,0.0626277143970389
H,2.86481774047244,3.43569411010417
Ucinf,3.42184754670269,1.74409971218633
chi2,114.975432650295,118.528682905175
good_of_fit,0,0
