Parameters,ink128,nvpbgt226
EC50,0.00203039234186108,0.1732938804023
H,4.26948402938339,9.99999999999999
Ucinf,9.39272071736256,0
chi2,150.430081866234,106.386511244107
good_of_fit,0,0
