Folder,TITLE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SUM_SYN_ANT_SAN,SUM_SYN_ANT_LOEWE,SUM_SYN_ANT_BLISS,SUM_SYN_ANT_HSA,QA
3methyladenine_lumefantrine_PLASMODIUM_FALCIPARUM_3D7,TestData,3methyladenine,lumefantrine,0.025,0.5,0.00442694801021138,4.35911855313074,2.96338446212814,0.5,10,75.6336323318231,0,0.321401037402936,6.12409324788248,6.77383314902074,1
3methyladenine_lumefantrine_PLASMODIUM_FALCIPARUM_DD2,TestData,3methyladenine,lumefantrine,0.05,1,0.0147217212885877,2.95489307857343,0.330833580372175,1,0,100,0,-5.04852509762135,-5.04852509762135,-5.04852509762135,1
3methyladenine_lumefantrine_PLASMODIUM_FALCIPARUM_HB3,TestData,3methyladenine,lumefantrine,0.05,1,0.00873902661197498,3.82799995915782,7.86815112115494,1,0,100,0,-59.5777317015363,-59.5777317015363,-59.5777317015363,-1
alvespimycinhydrochloride_artemether_PLASMODIUM_FALCIPARUM_3D7,TestData,alvespimycinhydrochloride,artemether,0.05,0.75,0.0187303002599478,9.99999999999989,50.3170481270823,0.179953243897603,10,15.7825654262878,0,-3761.2034245705,-3758.84661863011,-3754.00767308298,-1
alvespimycinhydrochloride_artemether_PLASMODIUM_FALCIPARUM_DD2,TestData,alvespimycinhydrochloride,artemether,0.05,0.75,0.0337150809577749,5.86698796109093,0,0.140657068715643,4.06569589660719,1.85428819299474,0,14.7637181105458,41.2691773615952,43.5142976768589,1
alvespimycinhydrochloride_artemether_PLASMODIUM_FALCIPARUM_HB3,TestData,alvespimycinhydrochloride,artemether,0.05,0.75,0.0189677499854339,4.2536560579891,27.8436503418189,0.263420133119119,2.91942367693716,0,0,38.2723354794394,52.8422068907527,58.5277641253224,-1
alvespimycinhydrochloride_artenimol_PLASMODIUM_FALCIPARUM_3D7,TestData,alvespimycinhydrochloride,artenimol,0.025,0.75,0.00258905215068505,3.12413481082045,23.8680683240436,0.105540924383617,9.99999999999883,53.5614575343821,0,-7357.22854561697,-7358.86894920615,-7342.70283331195,-1
alvespimycinhydrochloride_artenimol_PLASMODIUM_FALCIPARUM_DD2,TestData,alvespimycinhydrochloride,artenimol,0.025,0.75,0.00251054439330273,4.23417709530091,0.809888208858683,0.137170813507816,3.86929639485432,2.04929917393264,0,-4.82749663331709,19.4119646912992,24.1950424482606,1
alvespimycinhydrochloride_artenimol_PLASMODIUM_FALCIPARUM_HB3,TestData,alvespimycinhydrochloride,artenimol,0.025,0.75,0.00253001232412501,2.82462468250901,1.36579683411297,0.291483180359768,2.84332493877359,4.99532158735779,0,-32.5308608872664,-12.6003230339153,-4.52915651336628,-1
alvespimycinhydrochloride_artesunate_PLASMODIUM_FALCIPARUM_3D7,TestData,alvespimycinhydrochloride,artesunate,0.05,0.75,0.00960795347017824,9.99999999999998,58.5837394509502,0.0590890176773283,4.48744722247699,28.226457049843,0,-6615.72294986991,-6616.52198808191,-6603.88624787929,-1
alvespimycinhydrochloride_artesunate_PLASMODIUM_FALCIPARUM_DD2,TestData,alvespimycinhydrochloride,artesunate,0.05,0.75,0.0141619710963036,6.68933164618026,2.14567584080081,0.157204472575294,5.08005000940966,3.11548979775896,0,-48.9529086507173,-21.3230252866871,-18.8130404214573,1
alvespimycinhydrochloride_artesunate_PLASMODIUM_FALCIPARUM_HB3,TestData,alvespimycinhydrochloride,artesunate,0.05,0.75,0.00813347947250265,3.35072762583681,8.28936382269894,0.268579421001418,3.9152592151467,0,0,-35.5879977226722,-13.4837930726874,-7.53120982185923,-1
alvespimycinhydrochloride_halofantrine_PLASMODIUM_FALCIPARUM_DD2,TestData,alvespimycinhydrochloride,halofantrine,0.025,0.375,0.000848330855501279,2.73661858266519,0,0.0651501114554833,3.93537727600283,3.78103978873834,0,-7.57875066912844,11.9469598154565,18.5324962254395,1
