Parameters,atovaquone,halofantrine
EC50,0.000609056313891009,0.000447788334380586
H,2.48624135573143,1.44380668204961
Ucinf,0,5.01568385514279
chi2,131.162955765768,33.9681169052738
good_of_fit,0,0
