Parameters,methyleneblue,artenimol
EC50,0.0027674429935157,0.00757065478158588
H,4.33574784322465,2.8737391463962
Ucinf,8.65018262560953,6.65175099976364
chi2,6870.91342938482,5824.97744776967
good_of_fit,0,0
