Parameters,cinacalcethydrochloride,ml238
EC50,0.00694525165427039,8.14495579253396
H,1.94105275194655,2.87809931026733
Ucinf,16.1417311973928,0
chi2,2266.61758998247,595.171277047226
good_of_fit,0,0
