Parameters,cycloheximide,artenimol
EC50,0.00156145888966417,0.470983449342284
H,5.61115844123837,2.3361078451388
Ucinf,2.58437178602153,0
chi2,453.362589611554,343.78904078334
good_of_fit,0,0
