Parameters,lumefantrine,artemether
EC50,0.0127237429186146,0.00970040710950069
H,9.99999999999999,5.33399512867075
Ucinf,9.91602479365292,0
chi2,3230.06119229656,1415.85520534339
good_of_fit,0,0
