Parameters,cycloheximide,artesunate
EC50,0.0499999999999989,0.828811402056208
H,9.99999999999901,9.99999999999998
Ucinf,11.9567953764465,0
chi2,54727.7832377234,45406.9261187648
good_of_fit,0,0
