Parameters,quisinostathydrochloride,artesunate
EC50,0.00846981449075668,0.00507646046229403
H,4.35540521082381,1.66952833358095
Ucinf,14.8732906953857,0
chi2,1052.3606251369,1255.88090051494
good_of_fit,0,0
