Parameters,perhexiline,artenimol
EC50,0.00144823029393867,0.816136226598011
H,3.47726877269063,10
Ucinf,3.68066544837641,60.9894628816176
chi2,1210.2286878516,5320.72451932754
good_of_fit,0,0
