Parameters,nanchangmycin,artemether
EC50,0.0255967646525976,0.000384273449181267
H,9.99999999999987,9.99999999999998
Ucinf,6.28365023574306,28.0965472402486
chi2,53516.0731771058,18111.5433803605
good_of_fit,0,0
