Parameters,bix01294,artemether
EC50,0.0143392379584137,0.052709721104396
H,9.99999999999998,9.99999999999999
Ucinf,9.81404607070885,8.55044272017643
chi2,12649.2109864224,2945.43414558489
good_of_fit,0,0
