Parameters,mefloquine,artemether
EC50,0.00866580171798714,0.0251312663890375
H,2.53678129896135,2.23674677182405
Ucinf,0,2.9426763437783
chi2,7673.78047692809,9725.47874103184
good_of_fit,0,0
