Parameters,quisinostathydrochloride,methyleneblue
EC50,0.0182388729235528,0.00360745880992005
H,9.99999999999996,3.84319342463315
Ucinf,9.39745719193319,3.38744447704452
chi2,2472.00676682522,1635.81074124927
good_of_fit,0,0
