Parameters,piperaquine,artenimol
EC50,0.000744825529462691,0.018244643119563
H,2.83535660514219,5.48797235894798
Ucinf,1.05585377196884,0.726062022558283
chi2,452.945087824693,606.826182412605
good_of_fit,0,0
