Parameters,mefloquine,artenimol
EC50,0.00330101360756387,9.76625e-06
H,9.99999999999919,0.100000000000012
Ucinf,11.5980311106289,81.3716200464162
chi2,4884.20453730876,21381.7176968945
good_of_fit,0,0
