Parameters,genz669178,ml238
EC50,0.00518791246600496,0.0357407344016993
H,10,1.47844816428474
Ucinf,19.4301578191492,0.816383141040211
chi2,720.616292949417,4335.47920530528
good_of_fit,0,0
