Parameters,ivermectin,decoquinate
EC50,0.00625831032440873,2.38029369486539
H,2.78142045374748,3.39832499491672
Ucinf,6.03564372899444,4.89136315290073
chi2,81.1777013618069,132.261580059367
good_of_fit,0,0
