Parameters,tafenoquine,artenimol
EC50,0.00273283039562956,0.626397010244042
H,2.55284838909584,9.99999999999999
Ucinf,1.97073096289986,0
chi2,2815.29456254472,32615.7139853263
good_of_fit,0,0
