Parameters,pyronaridine,chloroquine
EC50,0.014491436185879,0.00525995195488815
H,9.9999999999999,9.99999999999976
Ucinf,60.5003969933874,0
chi2,20856.0449126663,16389.0353988154
good_of_fit,0,0
