Parameters,nvpbgt226,artesunate
EC50,0.010171783832581,0.00185828564994712
H,3.99388441779993,3.54336052667461
Ucinf,0,8.35829661566646
chi2,7195.64141686325,113.234579004096
good_of_fit,0,0
