Parameters,panobinostatlbh589,nitd609
EC50,0.00166849656195805,0.051400199938984
H,10,2.13962680887707
Ucinf,9.30717428325466,8.06056599263799
chi2,5756.49466783013,4566.51443136277
good_of_fit,0,0
