Parameters,manidipinedihydrochloride,artemether
EC50,0.0132609150729181,9.18117811147142
H,5.87203960420033,4.52185635690119
Ucinf,0.787385044742017,2.04297393473634
chi2,6133.00741116765,3377.57472541809
good_of_fit,0,0
