Parameters,emetine,artemether
EC50,0.00947757071452059,0.0973577198855635
H,2.6647099372802,9.99999999999998
Ucinf,5.31458901774894,9.28780774816737
chi2,2276.08191890575,3205.67799200376
good_of_fit,0,0
