Parameters,nvpauy922,nvpbgt226
EC50,0.00111422916719461,0.0672930480308067
H,10,3.34206723271032
Ucinf,18.1956788981284,9.09230308064331
chi2,9118.68049414454,3128.85507762399
good_of_fit,0,0
