Parameters,reserpine,methyleneblue
EC50,0.019721702537238,2.30812080211997
H,5.43760843113152,6.27833276570197
Ucinf,3.17383509493726,0
chi2,106.441649175696,192.860716974492
good_of_fit,0,0
