Parameters,perhexiline,artemether
EC50,0.0352689505729201,10
H,9.99999999999987,1.93017715805409
Ucinf,4.34004751656867,5.62936784434263
chi2,36.0933835819566,185.094535348399
good_of_fit,0,0
