Parameters,monensinsodiumsalt,nitd609
EC50,0.00223261027083179,0.00241358119187863
H,10,3.32094528220555
Ucinf,0.6443996424567,2.51228428331216
chi2,142.902369278973,601.503047654552
good_of_fit,0,0
