Parameters,reserpine,decoquinate
EC50,0.00575862313754951,1.04078203660244
H,3.39604734305649,2.50546917562093
Ucinf,19.4857018845455,7.84868569903863
chi2,4961.57462942715,1132.92801687445
good_of_fit,0,0
