Parameters,nitd609,halofantrine
EC50,0.000681317957218397,0.00129907192833574
H,2.73394612900465,9.99999999999998
Ucinf,0,1.36862884719094
chi2,100.47092759915,347.091448408632
good_of_fit,0,0
