Parameters,gsk2126458,chloroquine
EC50,0.0599830651329817,0.0258872941242442
H,9.9999999999993,9.99999999999889
Ucinf,81.2689102223171,33.3764264061536
chi2,48915.0845468423,19478.7399142375
good_of_fit,0,0
