Parameters,monensinsodiumsalt,proguanil
EC50,0.149266338399974,0.00276286538111438
H,2.96469678830867,2.92102652865413
Ucinf,0,3.67569627429871
chi2,13.5103712252816,65.8525099650147
good_of_fit,0,0
