Parameters,reserpine,artenimol
EC50,0.0229964393818862,1.35026333267287
H,1.82366947973808,9.99999999999989
Ucinf,0,72.6178968588673
chi2,12530.2389183379,37789.8416464986
good_of_fit,0,0
