Parameters,nvpbgt226,atovaquone
EC50,0.000367088083846281,0.00125362822855941
H,9.99999999999993,9.99999999999987
Ucinf,40.1138771339393,16.9120080439037
chi2,19949.9960025893,13188.0577056693
good_of_fit,0,0
