Parameters,kn62,lumefantrine
EC50,0.00936972167051772,2.00293759061785
H,6.70817176304309,3.77779887417458
Ucinf,12.3997653416173,22.852010635055
chi2,2089.44330389282,1402.69452476289
good_of_fit,0,0
