Parameters,alvespimycinhydrochloride,artesunate
EC50,0.00960795347017824,0.0590890176773283
H,9.99999999999998,4.48744722247699
Ucinf,58.5837394509502,28.226457049843
chi2,42352.3646957397,14492926709.5301
good_of_fit,0,0
