Parameters,genz669178,ml238
EC50,0.0220709849792952,0.0443589949739081
H,1.4113871463776,2.88313672701656
Ucinf,0,9.09605836915674
chi2,1664.01370404807,160.614544052431
good_of_fit,0,0
