Parameters,methyleneblue,halofantrine
EC50,0.00104574849302069,0.00401154865532189
H,4.18934739718179,2.29333691014298
Ucinf,0.61316448406768,0
chi2,158.712743313132,354.168266325833
good_of_fit,0,0
